1_grams,Frequency
study,836
may,744
new,740
cancer,549
help,467
scientists,444
nasa,390
heart,373
risk,350
found,332
first,329
mars,328
brain,323
women,305
life,295
space,295
earth,289
us,255
world,239
soon,234
india,230
could,227
years,226
men,221
make,215
human,211
drug,202
test,197
moon,194
kids,180
blood,171
health,167
way,165
like,161
fight,154
diabetes,154
gene,152
water,151
cure,150
year,150
indian,150
cells,148
people,148
get,147
says,143
old,141
experts,129
mission,128
solar,128
sex,127
china,126
food,122
disease,120
find,120
good,120
discovered,120
hiv,119
key,119
man,119
vaccine,119
genes,115
stem,111
humans,110
power,110
early,110
makes,107
2,107
sleep,106
patients,106
robot,105
planet,105
treat,104
set,102
linked,102
time,102
finds,102
system,98
high,95
helps,94
bad,94
better,93
baby,93
isro,93
doctors,92
obesity,92
lead,92
cause,92
1,91
day,91
car,90
pill,90
sun,89
skin,89
use,89
breast,88
drugs,88
tech,88
000,87
dna,87
uk,87
surgery,85
one,84
fat,84
live,83
work,83
light,83
aids,83
ice,82
body,81
made,81
big,81
10,79
age,79
away,79
want,79
research,78
say,78
lab,78
star,78
less,77
likely,77
malaria,76
bacteria,76
spot,75
launch,75
3,75
cell,75
3d,75
diet,75
attack,74
longer,74
gets,74
science,73
go,73
cut,71
reality,71
smoking,71
prevent,70
keep,70
universe,70
treatment,69
children,69
detect,69
stress,69
love,69
develop,69
two,69
virus,69
memory,68
back,68
black,68
future,68
therapy,68
pain,68
beat,67
babies,66
anti,66
take,66
long,66
scientist,65
birth,65
global,64
weight,64
asteroid,64
million,64
hope,64
control,64
death,63
eat,63
artificial,63
satellite,63
boost,63
probe,62
alzheimer,62
next,62
spacecraft,62
much,62
young,61
device,61
predict,61
5,60
identified,60
depression,59
behind,59
would,59
kill,58
hit,58
eye,57
coming,57
comet,57
turn,56
100,56
ancient,56
rocket,56
healthy,55
eating,55
4,55
rare,55
discover,55
robots,55
low,54
red,54
tied,54
loss,53
stroke,53
tell,52
genetic,52
coffee,52
cars,52
diseases,52
phone,51
mind,51
transplant,51
giant,51
face,51
grow,51
blame,51
change,50
music,50
tb,50
end,50
indians,50
reduce,50
show,50
among,50
closer,50
stop,50
planets,49
even,49
online,49
mystery,49
dogs,49
astronauts,49
secret,48
create,48
thought,48
created,48
flu,48
check,48
eyes,48
lost,48
chinese,48
developed,48
faster,47
pluto,47
jab,47
drink,47
save,47
drinking,46
sea,46
ago,46
self,46
smart,46
energy,46
using,46
mobile,46
rise,46
fish,45
6,45
species,45
warming,45
dark,45
days,45
fuel,44
computer,44
woman,44
stay,44
rover,44
sugar,44
pills,44
plans,44
times,44
vitamin,44
air,44
gives,43
resistant,43
free,43
saturn,43
curiosity,43
climate,43
milk,43
spacex,42
tests,42
prone,42
facebook,42
give,42
need,42
used,42
safe,41
last,41
launches,41
flying,41
look,41
sperm,41
ups,41
protein,41
male,41
yrs,41
report,40
galaxy,40
30,40
real,40
shows,40
child,40
home,40
green,40
bp,39
milky,39
hole,39
biggest,39
tv,39
exercise,39
born,39
raises,39
app,39
affect,39
higher,39
record,39
night,39
offers,38
chocolate,38
flight,38
researchers,38
jupiter,38
station,38
mice,38
brains,38
e,38
attacks,38
breakthrough,38
spread,38
diabetics,38
right,37
billion,37
three,37
hold,37
girls,37
junk,37
drive,36
grown,36
pregnancy,36
ever,36
heat,36
ebola,36
expert,36
liver,35
hair,35
second,35
video,35
watch,35
cuts,35
social,35
without,35
run,35
best,35
see,34
stars,34
japan,34
8,34
track,34
dead,34
printed,34
hours,34
teens,34
20,34
clock,34
turns,34
virtual,33
super,33
develops,33
matter,33
orbit,33
fear,33
threat,33
sars,33
bird,33
send,33
asthma,33
project,33
put,33
discovery,33
proof,33
hot,33
astronomers,33
technology,32
month,32
particle,32
damage,32
feel,32
40,32
oldest,32
walk,32
god,32
eclipse,32
parents,32
alien,32
aging,32
become,32
c,32
older,31
pollution,31
data,31
dengue,31
top,31
obese,31
living,31
medical,31
takes,31
einstein,31
dinosaurs,30
cold,30
speed,30
decoded,30
50,30
waste,30
plants,30
images,30
making,30
mom,30
mental,30
evolution,30
insulin,30
common,30
job,30
iss,30
cholesterol,30
venus,30
blind,30
deep,30
tea,30
size,30
fast,29
software,29
forget,29
every,29
antibiotics,29
close,29
centre,29
die,29
yr,29
know,29
15,29
spots,29
benefits,29
levels,29
arthritis,29
