1_grams,Frequency
climate,590
tiger,581
green,485
india,478
forest,318
change,304
pollution,303
new,248
study,242
govt,232
environment,220
world,208
wildlife,197
air,193
tigers,188
may,183
found,178
global,176
reserve,175
national,172
zoo,171
delhi,170
water,162
save,155
park,154
report,145
leopard,145
us,144
warming,143
two,140
centre,139
says,134
species,134
china,129
dead,128
get,124
sanctuary,122
birds,122
years,118
un,117
panel,113
year,113
plan,111
ganga,110
waste,106
elephant,103
bird,101
energy,100
conservation,100
day,99
power,95
carbon,94
poachers,93
ban,93
eco,93
killed,92
mining,92
ministry,91
ngt,91
experts,91
gujarat,90
first,90
lions,89
talks,88
trees,87
maharashtra,87
indian,87
project,87
set,84
clean,84
kaziranga,84
plastic,83
rhino,83
3,82
endangered,81
threat,79
gets,79
tigress,79
000,78
solar,78
pradesh,78
rare,78
poaching,78
5,78
sea,77
lion,77
2,77
gir,77
sc,76
three,76
elephants,74
man,73
plant,73
emissions,73
paris,73
nations,73
goa,72
animals,72
rs,71
census,71
tribunal,71
earth,70
mp,70
go,70
use,69
wild,69
pm,68
projects,68
cut,67
big,67
spotted,65
rise,65
forests,64
meet,63
1,63
sariska,62
cubs,62
ice,61
cover,61
emission,61
ramesh,61
10,60
river,60
seeks,60
fight,60
soon,60
near,59
take,59
make,59
court,58
one,57
help,57
dies,57
action,57
protect,57
kill,56
sunderbans,56
turtles,55
norms,55
ghats,55
rescued,54
animal,54
population,54
home,54
tree,54
arrested,54
western,54
nod,53
yamuna,52
deal,52
officials,52
mumbai,51
tourism,50
board,50
asks,50
high,49
kerala,49
death,49
hc,49
deaths,49
rich,49
city,48
migratory,48
due,48
areas,48
could,48
lake,47
held,47
scientists,47
food,47
states,47
hit,46
reserves,46
count,46
four,46
plans,46
bengal,45
country,45
check,45
life,44
back,44
time,44
takes,44
government,44
control,43
arctic,43
land,43
bear,43
numbers,43
20,43
state,43
turn,42
killing,42
plants,42
deer,42
great,42
polluting,42
act,41
moef,41
impact,41
kills,41
say,41
old,41
survey,41
minister,40
50,40
die,40
illegal,40
months,40
face,40
leopards,40
fish,39
lakh,39
must,39
clearance,39
4,39
calls,39
wants,39
biodiversity,38
seized,38
five,38
madhya,37
development,37
6,37
keep,37
environmental,37
15,37
ranthambore,37
assam,37
activists,37
100,36
villagers,36
rhinos,36
way,36
gives,35
last,35
australia,35
panna,35
people,35
another,35
cities,35
polluted,35
around,34
eu,34
orissa,34
west,34
fund,34
sighted,34
issues,34
monsoon,34
heat,34
free,34
stop,34
chief,33
glaciers,33
end,33
rules,33
department,33
friendly,33
area,33
rajasthan,33
record,33
fuel,32
30,32
karnataka,32
fresh,32
extinction,32
begins,32
toxic,32
village,32
modi,32
corbett,32
white,32
coal,32
crore,32
summit,32
drive,32
today,31
javadekar,31
haryana,31
odisha,31
vehicles,31
policy,31
likely,31
dudhwa,31
notice,31
move,31
need,31
days,30
goes,30
list,30
north,30
finds,30
human,30
tamil,30
trade,29
himalayan,29
countries,29
punjab,29
health,29
draft,29
dept,29
level,29
behind,29
injured,29
conflict,29
rising,29
cats,29
obama,29
bags,29
tech,29
melting,29
antarctic,29
protection,29
co2,29
nadu,29
agreement,29
himachal,29
smog,28
international,28
zone,28
beijing,28
red,28
olive,27
7,27
mission,27
cub,27
case,27
reduce,27
vulture,27
curb,27
kolkata,27
levels,27
major,27
south,27
bank,27
give,27
train,27
pact,27
tells,26
uttarakhand,26
coast,26
toll,26
order,26
risk,26
turtle,26
million,26
jairam,26
chennai,26
habitat,26
jumbo,26
steps,25
natural,25
gas,25
black,25
supreme,25
review,25
would,25
rights,25
quality,25
increase,25
discovered,25
expert,25
cat,25
poor,24
call,24
week,24
nature,24
missing,24
top,24
cost,24
14,24
faces,24
villages,24
planet,24
among,24
official,24
lost,24
diesel,24
tourists,24
vultures,24
tackle,24
yrs,24
safari,24
posco,24
since,23
rain,23
orders,23
el,23
relocation,23
japan,23
largest,23
skin,23
road,23
hits,23
future,23
cause,23
rivers,23
industries,23
work,23
push,23
tax,23
crisis,23
cars,23
six,23
body,23
e,23
put,23
zones,23
jumbos,23
parks,23
nino,23
every,23
sensitive,23
probe,22
sanctuaries,22
8,22
growth,22
data,22
key,22
40,22
pay,22
dogs,22
oil,22
number,22
decline,22
bustard,22
arunachal,22
still,22
ocean,22
funds,21
tadoba,21
reef,21
join,21
status,21
rescue,21
wwf,21
raise,21
25,21
bio,21
dam,21
developing,21
birth,21
tn,21
track,21
dolphins,21
shows,21
antarctica,21
less,21
warns,21
find,21
boost,21
13,21
lead,20
prey,20
12,20
tag,20
nasa,20
shift,20
makes,20
released,20
team,20
making,20
ahead,20
campaign,20
shut,20
developed,20
fire,20
africa,20
weather,20
cases,20
500,20
want,20
hour,20
beach,20
become,20
burning,19
peacocks,19
car,19
laws,19
attack,19
bill,19
coral,19
pench,19
pachauri,19
ridley,19
sand,19
committee,19
loses,19
made,19
alert,19
ipcc,19
hope,19
stand,19
come,19
force,19
giant,19
police,19
sets,19
bans,19
seek,19
start,19
winged,19
hands,19
away,19
200,19
proposal,18
asiatic,18
nepal,18
fall,18
ngo,18
launches,18
temple,18
despite,18
hottest,18
dolphin,18
poacher,18
next,18
bid,18
online,18
efforts,18
region,18
war,18
house,18
grow,18
core,18
caught,18
site,18
2013,18
yet,18
gurgaon,18
like,18
ready,17
barrier,17
slams,17
staff,17
crocodile,17
kyoto,17
king,17
billion,17
needs,17
worst,17
open,17
clearances,17
stray,17
temperature,17
approves,17
lioness,17
firms,17
cuts,17
law,17
basic,17
breeding,17
natarajan,17
locals,17
andhra,17
asia,17
part,17
ntca,17
60,17
2012,17
getting,17
arrive,17
foresters,17
private,17
greenhouse,17
science,17
k,17
chilika,17
bad,17
monitor,17
chinese,17
tribal,17
industry,17
central,17
winter,17
hold,16
plantation,16
issue,16
month,16
bears,16
turning,16
close,16
2010,16
research,16
saving,16
targets,16
mulls,16
11,16
launch,16
okhla,16
threatens,16
biggest,16
group,16
snow,16
snake,16
hunt,16
bihar,16
farmers,16
run,16
greens,16
marine,16
saplings,16
renewable,16
9,16
pune,16
baby,16
residents,16
construction,16
garbage,16
moves,16
mines,16
battle,16
shot,15
glacier,15
special,15
fast,15
humans,15
conference,15
18,15
dry,15
17,15
union,15
skins,15
eight,15
live,15
third,15
hunting,15
gandhi,15
crop,15
anti,15
security,15
public,15
polythene,15
across,15
rains,15
noise,15
jayanthi,15
nesting,15
light,15
ever,15
awareness,15
chhattisgarh,15
cm,15
huge,15
without,15
long,15
cancun,15
enough,15
shifting,15
times,15
good,15
kanha,15
allow,15
bandhavgarh,15
hills,15
copenhagen,15
attacks,15
roads,15
concern,15
female,15
80,15
survival,14
large,14
system,14
corporation,14
manas,14
target,14
second,14
panda,14
slow,14
unesco,14
visit,14
durban,14
fossil,14
right,14
authority,14
eater,14
heritage,14
shrinking,14
puts,14
stay,14
mangroves,14
watch,14
2020,14
space,14
sustainable,14
many,14
dumping,14
bodies,14
head,14
opposes,14
faster,14
nashik,14
low,14
return,14
equity,14
satellite,14
causing,14
oceans,14
early,14
frog,14
2016,14
hp,14
male,14
blackbucks,14
extinct,14
corridors,14
sikkim,14
cobra,14
hyderabad,14
fears,14
non,14
april,14
wetlands,14
rio,14
greener,14
tonnes,14
facing,14
agency,14
role,14
died,14
technology,13
fishing,13
warmer,13
tribals,13
movement,13
iit,13
australian,13
diwali,13
see,13
2015,13
even,13
african,13
km,13
uk,13
trapped,13
lima,13
companies,13
gm,13
electric,13
buffer,13
kanpur,13
trash,13
danger,13
groups,13
mangrove,13
oldest,13
growing,13
claims,13
sewage,13
cheetah,13
awards,13
ways,13
cool,13
himalayas,13
leaders,13
afforestation,13
16,13
disaster,13
money,13
well,13
2050,13
carcass,13
peta,13
demand,13
units,13
ahmedabad,13
lakes,13
j,13
stays,13
urban,13
support,13
district,13
wo,13
losing,13
students,13
based,13
rate,12
cbi,12
caused,12
cold,12
groundwater,12
municipal,12
release,12
thousands,12
paper,12
whale,12
decision,12
crocodiles,12
guidelines,12
nagpur,12
butterfly,12
programme,12
pose,12
clear,12
protocol,12
spot,12
avoid,12
tops,12
backs,12
sites,12
reaches,12
changes,12
heavy,12
night,12
greenpeace,12
blame,12
per,12
felling,12
create,12
guests,12
protest,12
europe,12
conserve,12
coastal,12
using,12
floods,12
single,12
care,12
fires,12
meat,12
tusker,12
leave,12
eyes,12
garden,12
wins,12
prakash,12
model,12
polar,12
hand,12
fine,12
ozone,12
let,12
discuss,12
bhopal,12
goals,12
needed,12
travel,12
route,12
spill,12
24,12
soil,11
drop,11
double,11
beaches,11
coimbatore,11
focus,11
french,11
island,11
toi,11
sq,11
going,11
threatened,11
blue,11
banned,11
crime,11
ecological,11
pacific,11
drought,11
lose,11
oppose,11
ncr,11
conduct,11
within,11
mysore,11
ecosystem,11
real,11
towards,11
revive,11
industrial,11
buxa,11
doha,11
trucks,11
shark,11
led,11
parts,11
tough,11
300,11
warmest,11
flock,11
thermal,11
show,11
radiation,11
along,11
crops,11
jungle,11
festival,11
award,11
continue,11
given,11
concrete,11
whales,11
monkey,11
studies,11
bring,11
activities,11
submit,11
cutting,11
70,11
trap,11
june,11
woman,11
islands,11
decide,11
past,11
creates,11
bhitarkanika,11
indore,11
turns,11
vedanta,11
solution,11
used,11
monitoring,11
killer,10
reach,10
buildings,10
diversity,10
looks,10
phase,10
everest,10
footprint,10
loss,10
place,10
aviation,10
january,10
treatment,10
dip,10
n,10
sun,10
dog,10
mass,10
mexico,10
guard,10
roar,10
poses,10
worried,10
harike,10
radio,10
environmentalists,10
clears,10
management,10
proposed,10
longer,10
pledges,10
binding,10
adopt,10
visitors,10
ngos,10
warm,10
blames,10
scientist,10
iron,10
adb,10
success,10
sparrows,10
cr,10
dust,10
snakes,10
panther,10
sheet,10
mystery,10
runs,10
rejects,10
nilgiris,10
born,10
civic,10
zero,10
urges,10
firm,10
half,10
kuno,10
cameras,10
lives,10
noida,10
golden,10
safety,10
deadline,10
poisoning,10
age,10
vulnerable,10
alarming,10
cabinet,10
causes,10
nandankanan,10
bor,10
range,10
wetland,10
ivory,10
proposals,10
21,10
aid,10
sign,10
summer,10
measures,10
russia,10
aravalis,10
gang,10
tourist,10
ship,10
rises,10
extreme,10
ridleys,10
pressure,10
disposal,9
trouble,9
mother,9
effect,9
season,9
bengaluru,9
stance,9
royal,9
wind,9
lights,9
smoke,9
building,9
production,9
35,9
buck,9
young,9
eggs,9
proposes,9
manipur,9
east,9
tigresses,9
taken,9
damage,9
erosion,9
dams,9
increases,9
hunger,9
stuck,9
smuggling,9
habitats,9
bar,9
eye,9
tortoises,9
scheme,9
meghalaya,9
alarm,9
45,9
small,9
agriculture,9
breed,9
sundarbans,9
begin,9
researchers,9
blackbuck,9
resources,9
tibet,9
sees,9
century,9
indians,9
town,9
fuels,9
mobile,9
map,9
worth,9
nagzira,9
pollutants,9
planted,9
palamu,9
seven,9
blocks,9
ranthambhore,9
comeback,9
look,9
rapid,9
message,9
150,9
meeting,9
comes,9
millions,9
continues,9
leaves,9
19,9
fails,9
switch,9
captive,9
translocated,9
reveals,9
corridor,9
cranes,9
asian,9
remains,9
lucknow,9
polluters,9
shimla,9
promote,9
shifted,9
ten,9
combat,9
gangotri,9
reefs,9
2008,9
vidarbha,9
better,9
school,9
hard,9
source,9
cattle,9
disasters,9
protected,9
22,9
aquatic,9
foul,9
step,9
adopts,9
calf,9
poached,9
children,9
best,9
prices,9
seen,9
bag,9
cleaning,9
dinosaurs,8
linked,8
homes,8
reports,8
budget,8
adapt,8
pregnant,8
course,8
legal,8
survive,8
efficient,8
giving,8
speed,8
horn,8
tour,8
mountain,8
normal,8
sloth,8
farm,8
towers,8
niyamgiri,8
weeks,8
nabbed,8
dioxide,8
dying,8
efficiency,8
fined,8
provide,8
offers,8
race,8
decade,8
belt,8
agra,8
ago,8
increasing,8
bats,8
fights,8
bangladesh,8
2100,8
row,8
outside,8
think,8
trigger,8
zoos,8
poisoned,8
maha,8
chinkara,8
fail,8
felled,8
pushes,8
products,8
nearly,8
little,8
play,8
uttar,8
transfer,8
nuclear,8
others,8
kids,8
puja,8
encroachment,8
buy,8
filed,8
deadly,8
vanishing,8
tortoise,8
farming,8
trump,8
search,8
ki,8
kutch,8
territory,8
pledge,8
ideas,8
youth,8
relocated,8
van,8
raises,8
rampant,8
patna,8
concerns,8
pil,8
declared,8
massive,8
becomes,8
debate,8
poverty,8
discharge,8
problem,8
sparrow,8
2017,8
releases,8
activist,8
send,8
fear,8
waters,8
effort,8
maneater,8
lovers,8
family,8
gases,8
fly,8
orang,8
launched,8
leads,8
challenge,8
recovered,8
left,8
deep,8
task,8
records,8
worry,8
march,8
build,8
ap,8
business,8
pair,8
file,8
serious,8
sanjay,8
petition,8
refuses,8
kashmir,8
october,8
sharks,8
accord,8
chambal,8
cleaner,8
opens,8
tracks,8
demands,8
highest,8
announces,8
resume,8
exotic,7
drinking,7
shifts,7
temperatures,7
pvt,7
negotiations,7
sabha,7
closure,7
amreli,7
sightings,7
iim,7
alliance,7
narendra,7
parliament,7
3rd,7
claim,7
capital,7
bangalore,7
immersion,7
traffic,7
tracking,7
northern,7
base,7
charge,7
point,7
named,7
pak,7
chopped,7
helped,7
congress,7
lease,7
star,7
investment,7
united,7
bomb,7
preserve,7
valley,7
brown,7
cpcb,7
declining,7
bjp,7
agenda,7
remain,7
beyond,7
relocate,7
pmo,7
boom,7
starts,7
etawah,7
july,7
welcome,7
navegaon,7
taking,7
seize,7
share,7
flood,7
notification,7
hatchlings,7
consensus,7
satpura,7
name,7
peacock,7
tuskers,7
date,7
critically,7
woes,7
asked,7
eating,7
flight,7
vehicle,7
verge,7
hurdles,7
similipal,7
warriors,7
lack,7
hundreds,7
unique,7
drones,7
hospitals,7
fair,7
2nd,7
pride,7
block,7
rajaji,7
brink,7
rajkot,7
thought,7
melghat,7
film,7
artificial,7
penguins,7
hydel,7
