1_grams,Frequency
book,433
books,188
review,171
india,102
new,100
author,72
micro,68
news,68
weekly,67
write,51
prize,49
indian,45
literature,45
read,45
10,41
love,39
fair,39
novel,38
delhi,38
life,36
world,30
writing,30
first,30
writer,30
year,29
literary,28
release,28
harry,28
children,27
story,26
lit,26
women,26
wins,26
fiction,25
2017,25
day,25
potter,25
stories,24
comic,23
award,23
authors,23
launches,23
writers,23
fest,23
says,21
us,21
reading,21
bond,21
festival,21
memoir,21
ruskin,20
quotes,20
poetry,20
best,19
launch,19
man,19
poet,19
times,18
booker,17
people,17
trump,17
series,17
kolkata,17
film,17
library,16
top,16
bollywood,16
chetan,16
like,16
pens,15
bhagat,15
must,15
rowling,15
launched,15
house,15
gets,15
weekend,15
president,15
set,14
akademi,14
years,14
kids,14
sahitya,14
journey,14
english,14
biography,14
may,14
time,14
khanna,13
words,13
short,13
study,13
singh,13
15,13
5,13
khan,12
july,12
guide,12
winner,12
hindi,12
one,12
1,12
get,12
nobel,12
6,12
london,11
language,11
made,11
urdu,11
show,11
shakespeare,11
reveals,11
obama,11
edition,11
modi,11
make,11
way,11
video,11
tagore,11
international,11
dead,11
awards,10
would,10
ever,10
tale,10
auction,10
r,10
k,10
debut,10
amish,10
novels,10
released,10
among,10
crime,10
gulzar,10
never,10
8,10
cover,10
publish,10
winners,10
tell,10
away,10
jaipur,10
thriller,10
word,10
upcoming,9
great,9
20,9
7,9
share,9
five,9
american,9
john,9
adaptation,9
today,9
passes,9
three,9
bestsellers,9
17,9
back,9
modern,9
2018,9
unique,9
dies,9
success,9
roy,9
written,9
history,9
2,9
tales,9
sen,8
august,8
mumbai,8
twinkle,8
oxford,8
many,8
york,8
anniversary,8
dsc,8
good,8
gandhi,8
big,8
4,8
might,8
nov,8
oct,8
publishing,8
romance,8
month,8
meet,8
favourite,8
woman,8
published,8
classic,8
celebrates,8
go,8
chinese,8
archer,8
become,8
archie,8
turns,8
2016,8
pen,8
soon,8
works,8
graphic,8
culture,8
characters,7
old,7
shows,7
lovers,7
change,7
former,7
movie,7
next,7
marriage,7
jlf,7
come,7
ex,7
languages,7
marvel,7
hit,7
always,7
000,7
writes,7
cookbook,7
two,7
smith,7
jeffrey,7
james,7
google,7
popular,7
9,7
austen,7
coming,7
child,7
autobiography,7
british,7
dictionary,7
sex,7
clinton,7
salman,7
24,7
naipaul,7
art,7
celebrate,7
home,7
business,7
pakistan,7
experience,7
lee,7
dec,7
j,7
litfest,7
cultural,7
collection,7
freedom,6
jane,6
beauty,6
revealed,6
birth,6
death,6
takes,6
city,6
focus,6
family,6
help,6
live,6
jan,6
june,6
mystery,6
season,6
making,6
april,6
23,6
facts,6
roald,6
11,6
penguin,6
arundhati,6
winning,6
famous,6
could,6
30,6
find,6
begins,6
screen,6
participate,6
bengali,6
say,6
wife,6
sri,6
hillary,6
hindu,6
social,6
golden,6
public,6
16,6
cancer,6
war,6
vikas,6
25,6
brings,6
right,6
star,6
young,6
behind,6
libraries,6
girl,6
last,6
son,6
society,6
superhero,6
dalit,6
26,6
country,6
goes,6
29,6
stay,6
lahiri,6
christmas,6
chef,6
boy,6
devdutt,6
self,5
tolkien,5
jk,5
comes,5
v,5
look,5
bookshelf,5
claims,5
celebrating,5
barack,5
selling,5
pattanaik,5
america,5
dr,5
end,5
lessons,5
ready,5
september,5
de,5
shades,5
power,5
style,5
publisher,5
finale,5
kalam,5
real,5
e,5
another,5
pics,5
know,5
list,5
18,5
every,5
south,5
adults,5
known,5
epic,5
boys,5
13,5
ali,5
asian,5
inspiring,5
learn,5
sep,5
bags,5
miss,5
murakami,5
rare,5
stage,5
second,5
21,5
fans,5
returns,5
indians,5
around,5
dylan,5
anthology,5
tv,5
makes,5
work,5
publishers,5
pakistani,5
2019,5
magic,5
adult,5
profound,5
dahl,5
largest,5
challenges,5
dream,5
human,5
horror,5
bookstore,5
need,5
marquez,5
rushdie,5
harpercollins,5
2015,5
14,5
choice,5
stephen,5
truth,5
bhatt,5
secret,5
things,5
open,5
free,5
chennai,5
talk,5
black,5
mythology,5
online,5
found,5
origin,5
warrior,4
partition,4
mrs,4
longlist,4
better,4
narayan,4
david,4
12,4
give,4
exhibition,4
patterson,4
chronicles,4
political,4
mother,4
cut,4
beautiful,4
future,4
spy,4
mockingbird,4
